
--data for course table

INSERT INTO course (course_code, course_name, credits, department, course_type, hours, lecture) VALUE 
('TCS1212', 'Fundamental of Management', 2, 'D004', 'T', 1, 'L001'),
('ICT1233', 'Server-Side Web Development', 3, 'D001', 'BOTH', 1, 'L002'),
('ICT1253', 'Computer Networks', 3, 'D001', 'BOTH', 1, 'L003'),
('TMS1233', 'Discrete Mathematics', 3, 'D001', 'T', 1, 'L005'),
('ICT1212', 'Database Management Systems', 2, 'D001', 'T', 1, 'L003'),
('ICT1222', 'Database Management Systems Practicum', 2, 'D001', 'P',2,'L004'),
('ENG1212', 'English II', 2, 'D001', 'T', 1, 'L001'),
('ICT1242', 'Computer Architecture', 2, 'D001', 'T', 1, 'L002');

--data for marks table

INSERT INTO marks (registration_no, course_code, week_number, status, mark) VALUES 
('S001', 'TCS1212', 2, 'Q1', 85),
('S001', 'TCS1212', 4, 'Q2', 78),
('S001', 'TCS1212', 5, 'Q3', 56),
('S001', 'TCS1212', 6, 'A', 82),
('S001', 'TCS1212', 8, 'MT', 80),
('S001', 'TCS1212', 15, 'FT', 79),
('S001', 'ICT1233', 2, 'Q1', 88),
('S001', 'ICT1233', 5, 'Q2', 85),
('S001', 'ICT1233', 7, 'Q3', 90),
('S001', 'ICT1233', 7, 'A', 90),
('S001', 'ICT1233', 9, 'MP', 92),
('S001', 'ICT1233', 16, 'FP', 94),
('S001', 'ICT1253', 3, 'Q1', 82),
('S001', 'ICT1253', 6, 'Q2', 79),
('S001', 'ICT1253', 7, 'Q3', 60),
('S001', 'ICT1253', 8, 'A', 84),
('S001', 'ICT1253', 10, 'MP', 41),
('S001', 'ICT1253', 10, 'MT', 81),
('S001', 'ICT1253', 10, 'FP', 71),
('S001', 'ICT1253', 17, 'FT', 80),
('S001', 'TMS1233', 2, 'Q1', 75),
('S001', 'TMS1233', 5, 'Q2', 80),
('S001', 'TMS1233', 6, 'Q3', 67),
('S001', 'TMS1233', 7, 'A', 78),
('S001', 'TMS1233', 9, 'MT', 82),
('S001', 'TMS1233', 16, 'FT', 79),
('S001', 'ICT1212', 3, 'Q1', 90),
('S001', 'ICT1212', 6, 'Q2', 87),
('S001', 'ICT1212', 7, 'Q3', 67),
('S001', 'ICT1212', 8, 'A', 88),
('S001', 'ICT1212', 10, 'MT', 92),
('S001', 'ICT1212', 17, 'FT', 91),
('S001', 'ICT1222', 4, 'Q1', 85),
('S001', 'ICT1222', 4, 'Q2', 35),
('S001', 'ICT1222', 5, 'Q3', 78),
('S001', 'ICT1222', 7, 'A', 88),
('S001', 'ICT1222', 11, 'MP', 90),
('S001', 'ICT1222', 18, 'FP', 92),
('S001', 'ENG1212', 2, 'Q1', 80),
('S001', 'ENG1212', 5, 'Q2', 83),
('S001', 'ENG1212', 6, 'Q3', 89),
('S001', 'ENG1212', 7, 'A', 85),
('S001', 'ENG1212', 9, 'MT', 78),
('S001', 'ENG1212', 16, 'FT', 82),
('S001', 'ICT1242', 3, 'Q1', 79),
('S001', 'ICT1242', 6, 'Q2', 82),
('S001', 'ICT1242', 7, 'Q3', 57),
('S001', 'ICT1242', 8, 'A', 84),
('S001', 'ICT1242', 10, 'MT', 80),
('S001', 'ICT1242', 17, 'FT', 81),

('S002', 'TCS1212', 2, 'Q1', 78),
('S002', 'TCS1212', 4, 'Q2', 82),
('S002', 'TCS1212', 5, 'Q3', 80),
('S002', 'TCS1212', 6, 'A', 81),
('S002', 'TCS1212', 8, 'MT', 79),
('S002', 'TCS1212', 15, 'FT', 80),
('S002', 'ICT1233', 2, 'Q1', 85),
('S002', 'ICT1233', 5, 'Q2', 88),
('S002', 'ICT1233', 7, 'Q3', 82),
('S002', 'ICT1233', 7, 'A', 85),
('S002', 'ICT1233', 9, 'MT', 47),
('S002', 'ICT1233', 9, 'MP', 87),
('S002', 'ICT1233', 16, 'FT', 90),
('S002', 'ICT1233', 16, 'FP', 70),
('S002', 'ICT1253', 3, 'Q1', 80),
('S002', 'ICT1253', 6, 'Q2', 76),
('S002', 'ICT1253', 7, 'Q3', 70),
('S002', 'ICT1253', 8, 'A', 81),
('S002', 'ICT1253', 10, 'MT', 50),
